INFO: COLUMN RESSEQ ATOM  INDEX    X        Y         Z
DATA: ANCHOR     88   CA      2  4.21100 31.66200 18.64200
DATA: ANCHOR     91   CA     11 -0.69600 32.62800 16.50800
DATA: ANCHOR     94   CA     20 -4.63000 29.86000 13.74800

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: INTERV    95    94      H    HA    26    22      3.41604952      3.61604952

INFO: COLUMN RES_I RES_J  ATM_I ATM_J IDX_I IDX_J         LIJ             UIJ
DATA: RIGID0    88    88     CA     C     2     3      1.52364248      1.52364248
DATA: RIGID0    88    89     CA     N     2     4      2.44437516      2.44437516
DATA: RIGID0    88    89     CA    CA     2     5      3.80912241      3.80912241
DATA: RIGID0    88    89     CA     C     2     6      4.49885556      4.49885556
DATA: RIGID0    88    90     CA     N     2     7      4.24442116      4.24442116
DATA: RIGID0    88    90     CA    CA     2     8      5.37754848      5.37754848
DATA: RIGID0    88    90     CA     C     2     9      5.60194890      5.60194890
DATA: RIGID0    88    91     CA     N     2    10      4.74585569      4.74585569
DATA: RIGID0    88    91     CA    CA     2    11      5.43744083      5.43744083
DATA: RIGID0    88    89      C     N     3     4      1.33549824      1.33549824
DATA: RIGID0    88    89      C    CA     3     5      2.41859516      2.41859516
DATA: RIGID0    88    89      C     C     3     6      3.09912214      3.09912214
DATA: RIGID0    88    90      C     N     3     7      3.11443825      3.11443825
DATA: RIGID0    88    90      C    CA     3     8      4.34490278      4.34490278
DATA: RIGID0    88    90      C     C     3     9      4.60841837      4.60841837
DATA: RIGID0    88    91      C     N     3    10      3.87973336      3.87973336
DATA: RIGID0    88    91      C    CA     3    11      4.76699839      4.76699839
DATA: RIGID0    89    89      N    CA     4     5      1.46946902      1.46946902
DATA: RIGID0    89    89      N     C     4     6      2.47860491      2.47860491
DATA: RIGID0    89    90      N     N     4     7      2.73761611      2.73761611
DATA: RIGID0    89    90      N    CA     4     8      4.16323147      4.16323147
DATA: RIGID0    89    90      N     C     4     9      4.82372008      4.82372008
DATA: RIGID0    89    91      N     N     4    10      4.43788984      4.43788984
DATA: RIGID0    89    91      N    CA     4    11      5.56907286      5.56907286
DATA: RIGID0    89    89     CA     C     5     6      1.53113328      1.53113328
DATA: RIGID0    89    90     CA     N     5     7      2.47459993      2.47459993
DATA: RIGID0    89    90     CA    CA     5     8      3.81537774      3.81537774
DATA: RIGID0    89    90     CA     C     5     9      4.53138326      4.53138326
DATA: RIGID0    89    91     CA     N     5    10      4.41204024      4.41204024
DATA: RIGID0    89    91     CA    CA     5    11      5.61519880      5.61519880
DATA: RIGID0    89    90      C     N     6     7      1.33462568      1.33462568
DATA: RIGID0    89    90      C    CA     6     8      2.40933725      2.40933725
DATA: RIGID0    89    90      C     C     6     9      3.21966792      3.21966792
DATA: RIGID0    89    91      C     N     6    10      3.44042160      3.44042160
DATA: RIGID0    89    91      C    CA     6    11      4.77274443      4.77274443
DATA: RIGID0    90    90      N    CA     7     8      1.45042549      1.45042549
DATA: RIGID0    90    90      N     C     7     9      2.50202269      2.50202269
DATA: RIGID0    90    91      N     N     7    10      2.79927217      2.79927217
DATA: RIGID0    90    91      N    CA     7    11      4.23668486      4.23668486
DATA: RIGID0    90    90     CA     C     8     9      1.52580597      1.52580597
DATA: RIGID0    90    91     CA     N     8    10      2.43981541      2.43981541
DATA: RIGID0    90    91     CA    CA     8    11      3.81132798      3.81132798
DATA: RIGID0    90    91      C     N     9    10      1.31933437      1.31933437
